2024-07-24T09:34:31.547Z [info] [proc] 명령 실행 중: "C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\CMake\CMake\bin\cmake.exe" --version
2024-07-24T09:49:25.478Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:49:28.575Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:49:31.824Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:49:35.172Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:49:38.957Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:49:40.050Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:50:43.703Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:50:46.833Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:50:59.407Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:51:05.778Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:51:09.944Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:53:04.859Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:53:06.428Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:53:09.503Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:53:11.386Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:53:14.336Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:53:16.728Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:53:19.192Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:24.847Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:29.438Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:30.519Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:39.193Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:40.998Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:45.871Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:50.370Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:52.955Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:57.353Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:56:59.136Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:57:39.218Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:57:45.971Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:57:47.423Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:57:51.186Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:57:55.587Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:57:58.875Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:58:01.701Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:58:04.833Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:58:05.079Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:58:18.023Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:58:18.082Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T09:58:37.832Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
