DEBUG [2024-08-02 00:33:04,925] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:33:04,926] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:1; LastCheckedRemotes:2024-08-02 오전 12:32:28; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:33:04,934] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 00:33:18,373] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 00:33:18,374] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:33:18,374] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:1; LastCheckedRemotes:2024-08-02 오전 12:32:28; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:33:18,391] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 00:33:18,630] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 00:33:18,632] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:33:18,632] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:1; LastCheckedRemotes:2024-08-02 오전 12:32:28; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:33:18,641] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 00:33:18,718] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 00:33:18,719] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:33:18,719] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:1; LastCheckedRemotes:2024-08-02 오전 12:32:28; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:33:18,728] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 00:33:18,734] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 00:33:18,735] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:33:18,736] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:1; LastCheckedRemotes:2024-08-02 오전 12:32:28; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:33:18,746] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 00:33:18,748] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 00:33:18,749] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:33:18,750] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:1; LastCheckedRemotes:2024-08-02 오전 12:32:28; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:33:18,763] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 00:33:18,774] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 00:33:18,775] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:33:18,776] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:1; LastCheckedRemotes:2024-08-02 오전 12:32:28; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:33:18,787] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 00:33:18,789] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 00:33:18,791] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:33:18,792] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:1; LastCheckedRemotes:2024-08-02 오전 12:33:18; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:1; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:33:18,803] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 00:41:21,685] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 00:41:21,686] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:41:21,687] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:2024-08-02 오전 12:41:21; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:41:21,690] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 00:42:07,965] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 00:42:07,967] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC-Web
DEBUG [2024-08-02 00:42:07,968] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:2024-08-02 오전 12:41:54; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 00:42:07,978] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:45:35,288] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:00,313] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:00,735] [18] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:00,735] [18] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:46:00,735] [18] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:5; LastCheckedRemotes:2024-08-02 오후 12:46:00; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:46:00,735] [18] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:46:25,685] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:25,695] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:46:25,695] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:5; LastCheckedRemotes:2024-08-02 오후 12:46:00; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
